year,mean_job_posts,mean_airea_posts,pct_airea_posts,mean_pop_year,posts_per_1000
2010,21287.420212765966,2701.8368794326248,0.12692176188697332,147951.0298762141,18.261697006726926
2011,26358.11545293073,3646.8507992895215,0.13835779746097257,148642.96686675944,24.53429769441083
2012,26045.52304964539,3678.5159574468084,0.14123409809951545,149265.63999796435,24.644090612527943
2013,35936.25,5016.072695035462,0.13958253003681415,142964.05422526336,35.08625103154822
2014,38531.29964539005,5736.831560283685,0.14888756966623753,143375.7735971664,40.012558721406364
2015,43407.93971631204,6259.608156028368,0.14420422155341558,143387.345342789,43.655234296051965
2016,46051.21099290779,6305.04255319149,0.13691371881973985,142650.53410220367,44.19922149519726
2017,45945.393617021255,6888.787234042556,0.14993423043589918,145133.60524628262,47.465142358675074
2018,57531.95035460995,8611.512411347514,0.14968226104397112,147102.71800039566,58.540810995241785
2019,60492.01773049648,8126.241134751776,0.1343357593220933,147682.27311052522,55.02516289595643
2020,60993.69326241136,8509.60638297872,0.13951616844004006,144471.12596979874,58.90177934072188
2021,75907.74822695031,10932.83687943263,0.14402794358680546,139845.79302815147,78.177803155164
2022,83634.40957446805,11684.423758865245,0.13970833079728312,139753.07737132555,83.60763124964751
2023,67580.5531914894,9712.586879432627,0.143718664922911,140611.3690701218,69.07397988984117
2024,63794.748226950316,9255.480496453896,0.1450821698288933,NA,NA
2025,10887.746003552398,1604.7655417406745,0.14739189738785968,NA,NA
